nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide
297244,/universities/tongji-university,Tongji University,"<img src=""https://www.topuniversities.com/sites/default/files/tongji-university_617_small.jpg"" alt=""Tongji University Logo"">",617,37.2,=256,China (Mainland),Asia,,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>"
294246,/universities/university-illinois-chicago-uic,University of Illinois at Chicago (UIC),"<img src=""https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg"" alt=""University of Illinois at Chicago (UIC) Logo"">",278,37.2,=256,United States,North America,NA,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
297482,/universities/rutgers-university-new-brunswick,Rutgers University–New Brunswick,"<img src=""https://www.topuniversities.com/sites/default/files/rutgers-university-new-brunswick_538_small.jpg"" alt=""Rutgers University–New Brunswick Logo"">",538,37,258,United States,North America,NA,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294523,/universities/universidad-nacional-de-colombia,Universidad Nacional de Colombia,"<img src=""https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_small.jpg"" alt=""Universidad Nacional de Colombia Logo"">",134,36.9,259,Colombia,Latin America,4,"<a href=""/where-to-study/latin-america/colombia/guide"" class=""guide-link"" target=""_blank"">Colombia</a>"
294539,/universities/charles-university,Charles University,"<img src=""https://www.topuniversities.com/sites/default/files/charles-university_117_small.jpg"" alt=""Charles University Logo"">",117,36.7,=260,Czech Republic,Europe,NA,"<a href=""/where-to-study/europe/czech-republic/guide"" class=""guide-link"" target=""_blank"">Czech Republic</a>"
297014,/universities/harbin-institute-technology,Harbin Institute of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/harbin-institute-of-technology_877_small_0.jpg"" alt=""Harbin Institute of Technology Logo"">",877,36.7,=260,China (Mainland),Asia,NA,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>"
297231,/universities/tufts-university,Tufts University,"<img src=""https://www.topuniversities.com/sites/default/files/tufts-university_630_small.jpg"" alt=""Tufts University Logo"">",630,36.7,=260,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
296998,/universities/sun-yat-sen-university,Sun Yat-sen University,"<img src=""https://www.topuniversities.com/sites/default/files/sun-yat-sen-university_888_small.jpg"" alt=""Sun Yat-sen University Logo"">",888,36.4,263,China (Mainland),Asia,NA,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>"
296813,/universities/hong-kong-baptist-university,Hong Kong Baptist University,"<img src=""https://www.topuniversities.com/sites/default/files/hong-kong-baptist-university_893_small.jpg"" alt=""Hong Kong Baptist University Logo"">",893,36.3,264,Hong Kong SAR,Asia,5,"<a href=""/where-to-study/asia/hong-kong/guide"" class=""guide-link"" target=""_blank"">Hong Kong SAR</a>"
294230,/universities/universitat-innsbruck,Universität Innsbruck,"<img src=""https://www.topuniversities.com/sites/default/files/universitt-innsbruck_592560cf2aeae70239af4ba7_small.jpg"" alt=""Universität Innsbruck Logo"">",291,36.2,=265,Austria,Europe,NA,"<a href=""/where-to-study/europe/austria/guide"" class=""guide-link"" target=""_blank"">Austria</a>"
297234,/universities/university-tsukuba,University of Tsukuba,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-tsukuba_592560cf2aeae70239af4cf7_small.jpg"" alt=""University of Tsukuba Logo"">",627,36.2,=265,Japan,Asia,,"<a href=""/where-to-study/asia/japan/guide"" class=""guide-link"" target=""_blank"">Japan</a>"
297271,/universities/national-taiwan-university-science-technology-taiwan-tech,National Taiwan University of Science and Technology (Taiwan Tech),"<img src=""https://www.topuniversities.com/sites/default/files/national-taiwan-university-of-science-and-technology-taiwan-tech_590_small.jpg"" alt=""National Taiwan University of Science and Technology (Taiwan Tech) Logo"">",590,36,=267,Taiwan,Asia,,"<a href=""/where-to-study/asia/taiwan/guide"" class=""guide-link"" target=""_blank"">Taiwan</a>"
297233,/universities/technical-university-darmstadt,Technical University of Darmstadt,"<img src=""https://www.topuniversities.com/sites/default/files/technische-universitt-darmstadt_628_small.jpg"" alt=""Technical University of Darmstadt Logo"">",628,36,=267,Germany,Europe,,"<a href=""/where-to-study/europe/germany/guide"" class=""guide-link"" target=""_blank"">Germany</a>"
297275,/universities/university-surrey,University of Surrey,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-surrey_584_small_0.jpg"" alt=""University of Surrey Logo"">",584,36,=267,United Kingdom,Europe,5,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
294559,/universities/university-canterbury,University of Canterbury,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-canterbury_97_small.jpg"" alt=""University of Canterbury Logo"">",97,35.9,=270,New Zealand,Oceania,5,"<a href=""/where-to-study/oceania/new-zealand/guide"" class=""guide-link"" target=""_blank"">New Zealand</a>"
294866,/universities/university-massachusetts-amherst,University of Massachusetts Amherst,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_small.jpg"" alt=""University of Massachusetts Amherst Logo"">",394,35.9,=270,United States,North America,NA,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
294865,/universities/massey-university,Massey University,"<img src=""https://www.topuniversities.com/sites/default/files/massey-university_395_small.jpg"" alt=""Massey University Logo"">",395,35.8,272,New Zealand,Oceania,6,"<a href=""/where-to-study/oceania/new-zealand/guide"" class=""guide-link"" target=""_blank"">New Zealand</a>"
297639,/universities/usi-universita-della-svizzera-italiana,USI - Università della Svizzera italiana,"<img src=""https://www.topuniversities.com/sites/default/files/usi-universit-della-svizzera-italiana_592560cf2aeae70239af50ca_small.jpg"" alt=""USI - Università della Svizzera italiana Logo"">",1604,35.6,=273,Switzerland,Europe,,"<a href=""/where-to-study/europe/switzerland/guide"" class=""guide-link"" target=""_blank"">Switzerland</a>"
294630,/universities/university-arizona,The University of Arizona,"<img src=""https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_small_0.jpg"" alt=""The University of Arizona Logo"">",26,35.6,=273,United States,North America,NA,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>"
884388,/universities/deakin-university,Deakin University,"<img src=""https://www.topuniversities.com/sites/default/files/deakin-university_592560cf2aeae70239af4a86_small_6.jpg"" alt=""Deakin University Logo"">",2,35.5,=275,Australia,Oceania,,"<a href=""/where-to-study/oceania/australia/guide"" class=""guide-link"" target=""_blank"">Australia</a>"
294238,/universities/indian-institute-technology-madras-iitm,Indian Institute of Technology Madras (IITM),"<img src=""https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-madras-iitm_286_small.jpg"" alt=""Indian Institute of Technology Madras (IITM) Logo"">",286,35.5,=275,India,Asia,NA,"<a href=""/where-to-study/asia/india/guide"" class=""guide-link"" target=""_blank"">India</a>"
297506,/universities/graz-university-technology,Graz University of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/graz-university-of-technology_1239_small.jpg"" alt=""Graz University of Technology Logo"">",1239,35.5,=275,Austria,Europe,,"<a href=""/where-to-study/europe/austria/guide"" class=""guide-link"" target=""_blank"">Austria</a>"
924190,/universities/universite-de-paris,Université de Paris,"<img src=""https://www.topuniversities.com/sites/default/files/universit-de-paris_5ddd0e075c52f3703747e454_small.jpg"" alt=""Université de Paris Logo"">",44542,35.5,=275,France,Europe,NA,"<a href=""/where-to-study/europe/france/guide"" class=""guide-link"" target=""_blank"">France</a>"
297022,/universities/beijing-normal-university,Beijing Normal University,"<img src=""https://www.topuniversities.com/sites/default/files/beijing-normal-university_869_small.jpg"" alt=""Beijing Normal University Logo"">",869,35.4,=279,China (Mainland),Asia,NA,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>"
297610,/universities/university-ottawa,University of Ottawa,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-ottawa_475_small.jpg"" alt=""University of Ottawa Logo"">",475,35.4,=279,Canada,North America,NA,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>"
294466,/universities/moscow-institute-physics-technology-mipt-moscow-phystech,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"<img src=""https://www.topuniversities.com/sites/default/files/moscow-institute-of-physics-and-technology-mipt-moscow-phystech_15270_small.jpg"" alt=""Moscow Institute of Physics and Technology (MIPT / Moscow Phystech) Logo"">",15270,35.3,281,Russia,Europe,,"<a href=""/where-to-study/europe/russia/guide"" class=""guide-link"" target=""_blank"">Russia</a>"
296473,/universities/bauman-moscow-state-technical-university,Bauman Moscow State Technical University,"<img src=""https://www.topuniversities.com/sites/default/files/bauman-moscow-state-technical-university_592560cf2aeae70239af505c_small.jpg"" alt=""Bauman Moscow State Technical University Logo"">",1496,35.2,=282,Russia,Europe,,"<a href=""/where-to-study/europe/russia/guide"" class=""guide-link"" target=""_blank"">Russia</a>"
294130,/universities/university-cologne,University of Cologne,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg"" alt=""University of Cologne Logo"">",322,35.2,=282,Germany,Europe,NA,"<a href=""/where-to-study/europe/germany/guide"" class=""guide-link"" target=""_blank"">Germany</a>"
297051,/universities/united-arab-emirates-university,United Arab Emirates University,"<img src=""https://www.topuniversities.com/sites/default/files/united-arab-emirates-university_778_small.jpg"" alt=""United Arab Emirates University Logo"">",778,35.1,284,United Arab Emirates,Asia,5,"<a href=""/where-to-study/asia/united-arab-emirates/guide"" class=""guide-link"" target=""_blank"">United Arab Emirates</a>"
297217,/universities/university-tartu,University of Tartu,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-tartu_592560cf2aeae70239af4d08_small.jpg"" alt=""University of Tartu Logo"">",644,35,285,Estonia,Europe,,"<a href=""/where-to-study/europe/estonia/guide"" class=""guide-link"" target=""_blank"">Estonia</a>"
